ProviderId,status,CurrentRoundNumber,Round,RoundNumber,HomeTeam,HomeGoals,HomeBehinds,HomeScore,AwayTeam,AwayGoals,AwayBehinds,AwayScore,Venue,Location,State,Season,Date,Opposition,Match_id,RoundStatus
CD_M20180142202,CONCLUDED,27,Round 22,22,Collingwood,17.0,13.0,115.0,Port Adelaide,10.0,4.0,64.0,MCG,Melbourne,VIC,2018,2018-08-18,Port Adelaide,9695.0,Past Round
CD_M20180142203,CONCLUDED,27,Round 22,22,Geelong,24.0,14.0,158.0,Fremantle,3.0,7.0,25.0,GMHBA Stadium,Geelong,VIC,2018,2018-08-18,Fremantle,9696.0,Past Round
CD_M20180142204,CONCLUDED,27,Round 22,22,GWS,8.0,12.0,60.0,Sydney,11.0,14.0,80.0,ENGIE Stadium,Sydney,NSW,2018,2018-08-18,Sydney,9697.0,Past Round
CD_M20180142205,CONCLUDED,27,Round 22,22,Gold Coast,11.0,8.0,74.0,Brisbane,10.0,18.0,78.0,People First Stadium,Gold Coast,QLD,2018,2018-08-18,Brisbane,9698.0,Past Round
CD_M20180142206,CONCLUDED,27,Round 22,22,St Kilda,11.0,10.0,76.0,Hawthorn,12.0,8.0,80.0,Marvel Stadium,Melbourne,VIC,2018,2018-08-18,Hawthorn,9699.0,Past Round
CD_M20180142207,CONCLUDED,27,Round 22,22,Carlton,7.0,7.0,49.0,Western Bulldogs,10.0,6.0,66.0,Marvel Stadium,Melbourne,VIC,2018,2018-08-19,Western Bulldogs,9700.0,Past Round
CD_M20180142208,CONCLUDED,27,Round 22,22,West Coast,14.0,7.0,91.0,Melbourne,16.0,12.0,108.0,Optus Stadium,Perth,WA,2018,2018-08-19,Melbourne,9701.0,Past Round
CD_M20180142209,CONCLUDED,27,Round 22,22,Adelaide,12.0,14.0,86.0,North Melbourne,11.0,11.0,77.0,Adelaide Oval,Adelaide,SA,2018,2018-08-19,North Melbourne,9702.0,Past Round
CD_M20190142201,CONCLUDED,27,Round 22,22,Melbourne,5.0,12.0,42.0,Sydney,15.0,5.0,95.0,MCG,Melbourne,VIC,2019,2019-08-16,Sydney,9901.0,Past Round
CD_M20190142202,CONCLUDED,27,Round 22,22,Carlton,11.0,12.0,78.0,St Kilda,10.0,8.0,68.0,MCG,Melbourne,VIC,2019,2019-08-17,St Kilda,9902.0,Past Round
CD_M20190142203,CONCLUDED,27,Round 22,22,Brisbane,10.0,15.0,75.0,Geelong,10.0,14.0,74.0,Gabba,Brisbane,QLD,2019,2019-08-17,Geelong,9903.0,Past Round
CD_M20190142204,CONCLUDED,27,Round 22,22,Adelaide,6.0,12.0,48.0,Collingwood,17.0,12.0,114.0,Adelaide Oval,Adelaide,SA,2019,2019-08-17,Collingwood,9904.0,Past Round
CD_M20190142205,CONCLUDED,27,Round 22,22,North Melbourne,22.0,12.0,144.0,Port Adelaide,8.0,10.0,58.0,Marvel Stadium,Melbourne,VIC,2019,2019-08-17,Port Adelaide,9905.0,Past Round
CD_M20190142206,CONCLUDED,27,Round 22,22,Fremantle,7.0,13.0,55.0,Essendon,13.0,9.0,87.0,Optus Stadium,Perth,WA,2019,2019-08-17,Essendon,9906.0,Past Round
CD_M20190142207,CONCLUDED,27,Round 22,22,Richmond,13.0,10.0,88.0,West Coast,13.0,4.0,82.0,MCG,Melbourne,VIC,2019,2019-08-18,West Coast,9907.0,Past Round
CD_M20190142208,CONCLUDED,27,Round 22,22,GWS,9.0,11.0,65.0,Western Bulldogs,19.0,12.0,126.0,ENGIE Stadium,Sydney,NSW,2019,2019-08-18,Western Bulldogs,9908.0,Past Round
CD_M20190142209,CONCLUDED,27,Round 22,22,Hawthorn,18.0,10.0,118.0,Gold Coast,7.0,6.0,48.0,Marvel Stadium,Melbourne,VIC,2019,2019-08-18,Gold Coast,9909.0,Past Round
CD_M20200142201,CONCLUDED,22,Grand Final,22,Richmond,12.0,9.0,81.0,Geelong,7.0,8.0,50.0,Gabba,Brisbane,QLD,2020,2020-10-24,Geelong,10326.0,Past Round
CD_M20210142205,CONCLUDED,27,Round 22,22,GWS,16.0,10.0,106.0,Richmond,10.0,7.0,67.0,Marvel Stadium,Melbourne,VIC,2021,2021-08-13,Richmond,10510.0,Past Round
CD_M20210142201,CONCLUDED,27,Round 22,22,Brisbane,22.0,10.0,142.0,Collingwood,8.0,9.0,57.0,Gabba,Brisbane,QLD,2021,2021-08-14,Collingwood,10526.0,Past Round
CD_M20210142203,CONCLUDED,27,Round 22,22,Geelong,13.0,7.0,85.0,St Kilda,11.0,5.0,71.0,GMHBA Stadium,Geelong,VIC,2021,2021-08-14,St Kilda,10508.0,Past Round
CD_M20210142206,CONCLUDED,27,Round 22,22,Hawthorn,9.0,10.0,64.0,Western Bulldogs,5.0,7.0,37.0,UTAS Stadium,Launceston,TAS,2021,2021-08-14,Western Bulldogs,10511.0,Past Round
CD_M20210142208,CONCLUDED,27,Round 22,22,North Melbourne,12.0,5.0,77.0,Sydney,13.0,13.0,91.0,Marvel Stadium,Melbourne,VIC,2021,2021-08-14,Sydney,10513.0,Past Round
CD_M20210142209,CONCLUDED,27,Round 22,22,Port Adelaide,21.0,14.0,140.0,Carlton,5.0,15.0,45.0,Adelaide Oval,Adelaide,SA,2021,2021-08-14,Carlton,10514.0,Past Round
CD_M20210142202,CONCLUDED,27,Round 22,22,Fremantle,12.0,7.0,79.0,West Coast,9.0,10.0,64.0,Optus Stadium,Perth,WA,2021,2021-08-15,West Coast,10515.0,Past Round
CD_M20210142204,CONCLUDED,27,Round 22,22,Gold Coast,4.0,6.0,30.0,Essendon,14.0,14.0,98.0,GMHBA Stadium,Geelong,VIC,2021,2021-08-15,Essendon,10509.0,Past Round
