Season,RoundNumber,HomeTeam,AwayTeam,CoachesVotes,Player,Team,Player_Cleaned_Name,Date,Match_id
2012,4,Adelaide,GWS,1.0,Tom Scully,GWS,T_Scully,2012-04-21,5373
2012,4,Adelaide,GWS,1.0,Luke Power,GWS,L_Power,2012-04-21,5373
2012,4,West Coast,Hawthorn,10.0,Daniel Kerr,West Coast,D_Kerr,2012-04-21,5375
2012,4,West Coast,Hawthorn,8.0,Beau Waters,West Coast,B_Waters,2012-04-21,5375
2012,4,West Coast,Hawthorn,5.0,Brad Sewell,Hawthorn,B_Sewell,2012-04-21,5375
2012,4,West Coast,Hawthorn,3.0,Sam Mitchell,Hawthorn,S_Mitchell,2012-04-21,5375
2012,4,West Coast,Hawthorn,2.0,Jack Darling,West Coast,J_Darling,2012-04-21,5375
2012,4,West Coast,Hawthorn,2.0,Eric Mackenzie,West Coast,E_Mackenzie,2012-04-21,5375
2012,4,Brisbane,Gold Coast,10.0,Tom Rockliff,Brisbane,T_Rockliff,2012-04-21,5374
2012,4,Brisbane,Gold Coast,7.0,Simon Black,Brisbane,S_Black,2012-04-21,5374
2012,4,Brisbane,Gold Coast,5.0,Aaron Cornelius,Brisbane,A_Cornelius,2012-04-21,5374
2012,4,Brisbane,Gold Coast,3.0,Mitch Golby,Brisbane,M_Golby,2012-04-21,5374
2012,4,Brisbane,Gold Coast,2.0,Pearce Hanley,Brisbane,P_Hanley,2012-04-21,5374
2012,4,Brisbane,Gold Coast,2.0,Gary Ablett,Gold Coast,G_Ablett,2012-04-21,5374
2012,4,Brisbane,Gold Coast,1.0,Jared Polec,Brisbane,J_Polec,2012-04-21,5374
2012,4,Geelong,Richmond,6.0,Harry Taylor,Geelong,H_Taylor,2012-04-22,5376
2012,4,Geelong,Richmond,5.0,Joel Selwood,Geelong,J_Selwood,2012-04-22,5376
2012,4,Geelong,Richmond,5.0,Corey Enright,Geelong,C_Enright,2012-04-22,5376
2012,4,Geelong,Richmond,4.0,Brett Deledio,Richmond,B_Deledio,2012-04-22,5376
2012,4,Geelong,Richmond,4.0,Trent Cotchin,Richmond,T_Cotchin,2012-04-22,5376
2012,4,Geelong,Richmond,2.0,Cameron Guthrie,Geelong,C_Guthrie,2012-04-22,5376
2012,4,Geelong,Richmond,2.0,Alex Rance,Richmond,A_Rance,2012-04-22,5376
2012,4,Geelong,Richmond,1.0,Dylan Grimes,Richmond,D_Grimes,2012-04-22,5376
2012,4,Geelong,Richmond,1.0,Tom Lonergan,Geelong,T_Lonergan,2012-04-22,5376
2012,4,Sydney,North Melbourne,5.0,Luke Parker,Sydney,L_Parker,2012-04-22,5377
2012,4,Sydney,North Melbourne,5.0,Ted Richards,Sydney,T_Richards,2012-04-22,5377
2012,4,Sydney,North Melbourne,5.0,Jarrad McVeigh,Sydney,J_Mcveigh,2012-04-22,5377
2012,4,Sydney,North Melbourne,4.0,Ben McGlynn,Sydney,B_Mcglynn,2012-04-22,5377
2012,4,Sydney,North Melbourne,4.0,Kieren Jack,Sydney,K_Jack,2012-04-22,5377
2012,4,Sydney,North Melbourne,3.0,Rhyce Shaw,Sydney,R_Shaw,2012-04-22,5377
2012,4,Sydney,North Melbourne,2.0,Lewis Jetta,Sydney,L_Jetta,2012-04-22,5377
2012,4,Sydney,North Melbourne,1.0,Jack Ziebell,North Melbourne,J_Ziebell,2012-04-22,5377
2012,4,Sydney,North Melbourne,1.0,Scott Thompson,North Melbourne,S_Thompson,2012-04-22,5377
2012,4,Melbourne,Western Bulldogs,10.0,Luke Dahlhaus,Western Bulldogs,L_Dahlhaus,2012-04-22,5378
2012,4,Melbourne,Western Bulldogs,6.0,Adam Cooney,Western Bulldogs,A_Cooney,2012-04-22,5378
2012,4,Melbourne,Western Bulldogs,4.0,Jared Rivers,Melbourne,J_Rivers,2012-04-22,5378
2012,4,Melbourne,Western Bulldogs,3.0,Robert Murphy,Western Bulldogs,R_Murphy,2012-04-22,5378
2012,4,Melbourne,Western Bulldogs,3.0,Daniel Cross,Western Bulldogs,D_Cross,2012-04-22,5378
2012,4,Melbourne,Western Bulldogs,2.0,Dylan Addison,Western Bulldogs,D_Addison,2012-04-22,5378
2012,4,Melbourne,Western Bulldogs,1.0,Matthew Bate,Melbourne,M_Bate,2012-04-22,5378
2012,4,Melbourne,Western Bulldogs,1.0,Ryan Hargrave,Western Bulldogs,R_Hargrave,2012-04-22,5378
2012,5,Collingwood,Essendon,10.0,Dane Swan,Collingwood,D_Swan,2012-04-25,5379
2012,5,Collingwood,Essendon,8.0,Scott Pendlebury,Collingwood,S_Pendlebury,2012-04-25,5379
2012,5,Collingwood,Essendon,3.0,Nathan Brown,Collingwood,N_Brown,2012-04-25,5379
2012,5,Collingwood,Essendon,3.0,Ben Johnson,Collingwood,B_Johnson,2012-04-25,5379
2012,5,Collingwood,Essendon,2.0,Dayne Beams,Collingwood,D_Beams,2012-04-25,5379
2012,5,Collingwood,Essendon,2.0,Dyson Heppell,Essendon,D_Heppell,2012-04-25,5379
2012,5,Collingwood,Essendon,1.0,Martin Clarke,Collingwood,M_Clarke,2012-04-25,5379
2012,5,Collingwood,Essendon,1.0,Angus Monfries,Essendon,A_Monfries,2012-04-25,5379
2012,5,Fremantle,Carlton,10.0,Kade Simpson,Carlton,K_Simpson,2012-04-27,5380
2012,5,Fremantle,Carlton,4.0,Heath Scotland,Carlton,H_Scotland,2012-04-27,5380
2012,5,Fremantle,Carlton,4.0,Andrew Walker,Carlton,A_Walker,2012-04-27,5380
2012,5,Fremantle,Carlton,3.0,Bryce Gibbs,Carlton,B_Gibbs,2012-04-27,5380
2012,5,Fremantle,Carlton,3.0,Marc Murphy,Carlton,M_Murphy,2012-04-27,5380
